+-----------------------------------+----------------------+----------------------------------+---------------------+------------------------+--------------------+
|            Problem Name           | Model Creation Time  | Solver Creation + Transform Time |      Solve Time     | Overall Execution Time | Number of Branches |
+-----------------------------------+----------------------+----------------------------------+---------------------+------------------------+--------------------+
|  Problem 4/72  (Regin & Puget #1) |     Passes limit     |           Passes limit           |     Passes limit    |   20.617566874999966   |    Passes limit    |
|  Problem 6/76 (Regin & Puget #2)  |     Passes limit     |           Passes limit           |     Passes limit    |   20.593586708999965   |    Passes limit    |
|  Problem 10/93 (Regin & Puget #3) |     Passes limit     |           Passes limit           |     Passes limit    |   20.674433666999903   |    Passes limit    |
|           Problem 60-06           | 0.03644341700010045  |        1.1786826250001923        |  13.801925124999798 |   15.018483791000108   |       48301        |
|           Problem 60-07           | 0.03512145799982136  |        1.046575791999885         | 0.37182574999997087 |   1.4548219169998902   |       10200        |
|           Problem 60-08           | 0.03765762500006531  |        1.0522378750001735        |  0.6317675000000236 |   1.7230307500001345   |       10234        |
|           Problem 60-09           | 0.03363229199999296  |        0.9607099169998037        |  7.965384083000117  |   8.961062042000094    |       24245        |
|           Problem 60-10           | 0.03772458299999926  |        1.1848882080000749        |  0.4607084589999886 |   1.6846534169999359   |       11400        |
|           Problem 65-01           | 0.040168374999893786 |        1.2670712080000612        |  1.0396980840000651 |   2.348418833000096    |       12313        |
|           Problem 65-02           | 0.03742816699991636  |        1.0899293750001107        |  0.525163166999846  |   1.6538276670000869   |       10600        |
|           Problem 65-03           | 0.038357624999889595 |        1.2240777500001059        |  0.470250291000184  |   1.7340366250000443   |       11800        |
|           Problem 65-04           | 0.03536866599984023  |        1.0473441249998814        |  0.8674109999999473 |   1.9514408329998787   |       10234        |
|           Problem 65-05           | 0.037126833999991504 |        1.1351044999998976        | 0.46819554100011374 |   1.6417615000000296   |       11000        |
|           Problem 65-06           | 0.03826899999990019  |        1.1748569999999745        |  6.927914832999932  |    8.14237145800007    |       19422        |
|           Problem 65-07           | 0.04061425000008967  |        1.1812708329998713        |  0.6365385000001424 |   1.8598051249998662   |       11410        |
|           Problem 65-08           | 0.03542575000005854  |        1.0500504999999976        | 0.42388999999980115 |   1.5106909170001472   |       10200        |
|           Problem 65-09           | 0.036942666999948415 |        1.0889103750000686        |  0.6216982920000191 |   1.7489223750001202   |       10622        |
|           Problem 65-10           | 0.038893791999953464 |        1.2200889579999057        |  0.5530507910000324 |   1.8133983340001123   |        9226        |
|           Problem 70-01           | 0.03896941700008938  |        1.2608825419999903        |  0.7098893749998751 |   2.011225417000105    |       12219        |
|           Problem 70-02           | 0.03813941699991119  |        1.1332069170000523        |  0.5312157079999906 |   1.7038881670000592   |       11000        |
|           Problem 70-03           | 0.04011170800004038  |        1.318869124999992         |  0.5310516249999182 |   1.8917067500001394   |        9494        |
|           Problem 70-04           | 0.03638595899997199  |        1.1325183750000178        |  3.1173000829999182 |   4.287605875000054    |       11769        |
|           Problem 70-05           | 0.03715804200010098  |        1.175024915999984         |  0.4683905419999519 |   1.6819389999998293   |       11400        |
|           Problem 70-06           | 0.03898841699992772  |        1.2209902499998861        |  1.5784113330000764 |   2.8397895420000623   |       11930        |
|           Problem 70-07           | 0.03725104099999044  |        1.1754122920001464        | 0.44854158299995106 |   1.6625530420001269   |       11400        |
|           Problem 70-08           | 0.036170207999930426 |        1.089001749999852         | 0.41021150000005946 |   1.536931875000164    |       10600        |
|           Problem 70-09           | 0.03675537499998427  |        1.0972539159999997        |  1.0384999999998854 |   2.173909207999941    |       10632        |
|           Problem 70-10           | 0.03901775000008456  |        1.2240558329999658        |  0.478223792000108  |   1.7426859590000277   |       11800        |
|           Problem 75-01           | 0.04015212500007692  |        1.262942374999966         |  0.5146752089999609 |   1.819157916999984    |       12200        |
|           Problem 75-02           | 0.03811404099997162  |        1.1818212499999845        |  0.5877014999998664 |   1.8093522500000745   |       11409        |
|           Problem 75-03           | 0.04015374999994492  |        1.3065689579998434        |  0.5379407500001889 |   1.8861004160000903   |       12600        |
|           Problem 75-04           | 0.038104582999949344 |        1.1369210410000505        |  2.581399749999946  |   3.757717292000052    |       11485        |
|           Problem 75-05           | 0.04285208299984333  |        1.1775208750000274        |  0.4712057920000916 |   1.6928839170000174   |       11400        |
|           Problem 75-06           |  0.0385137499999928  |        1.2238170420000642        |  0.4571267089997946 |   1.7211709579999024   |       11800        |
